code,fiscal_year,record_date,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,stock_dividend
2881,112年,2024-09-15,2024-08-23,09:58:04,,,0.0,2024-09-09,2024-10-15,0.5
2881,113年,2025-07-07,2025-06-13,16:25:13,2025-07-01,2025-07-31,4.25,,,0.0
2881,113年,2025-10-01,2025-09-09,17:11:55,,,0.0,2025-09-25,2025-11-14,0.25
2881,114年,2026-07-07,2026-06-12,16:38:03,2026-07-01,2026-07-31,4.25,,,0.0
2882,98年,2010-07-12,2010-06-21,13:26:17,2010-07-06,2010-08-04,0.5,,,0.0
2882,98年,2010-08-10,2010-07-19,16:31:40,,,0.0,2010-08-04,2010-09-21,0.5
2882,99年,2011-07-04,2011-06-13,18:34:51,2011-06-28,2011-07-27,0.6,,,0.0
2882,99年,2011-08-05,2011-07-12,15:24:07,,,0.0,2011-07-28,2011-09-15,0.2
2882,100年,2012-07-09,2012-06-19,15:23:44,2012-07-03,2012-08-01,0.5,,,0.0
2882,100年,2012-08-14,2012-07-23,16:43:35,,,0.0,2012-08-08,2012-09-28,0.5
2882,101年,2013-07-27,2013-07-15,09:00:44,2013-07-19,2013-08-20,0.7,2013-07-19,,0.0
2882,101年,2013-11-08,2013-10-18,09:43:27,,,0.0,2013-10-31,2013-12-05,0.6775116372
2882,102年,2014-06-30,2014-06-09,15:31:20,2014-06-24,2014-07-23,1.5,,,0.0
2882,102年,2014-08-04,2014-07-15,08:45:39,,,0.0,2014-07-29,2014-08-29,0.5
2882,103年,2015-07-07,2015-06-12,17:43:16,2015-07-01,2015-07-30,2.0,,,0.0
2882,104年,2016-07-03,2016-06-08,17:30:08,2016-06-27,2016-07-25,2.0,,,0.0
2882,104年,2016-11-15,2016-11-02,17:25:38,,,0.0,2016-11-09,,0.0
2882,105年,2017-07-09,2017-06-16,17:27:20,2017-07-03,2017-07-31,2.0,,,0.0
2882,107年,2018-06-16,2018-06-01,17:22:13,,,0.0,2018-06-08,,0.0
2882,106年,2018-07-02,2018-06-08,17:15:35,2018-06-26,2018-07-24,2.5,,,0.0
2882,107年,2019-07-07,2019-06-17,17:30:41,2019-07-01,2019-07-29,1.5,,,0.0
2882,不適用,2019-10-20,2019-10-03,17:40:29,,,0.0,2019-10-14,,0.0
2882,108年,2020-07-07,2020-06-12,17:26:05,2020-07-01,2020-07-29,2.0,,,0.0
2882,109年,2021-08-01,2021-07-09,16:24:04,2021-07-26,2021-08-23,2.5,,,0.0
2882,110年,2022-07-10,2022-06-17,19:09:51,2022-07-04,2022-08-01,3.5,,,0.0
2882,不適用,2022-12-11,2022-11-28,16:36:14,,,0.0,2022-12-05,,0.0
2882,111年,2023-07-04,2023-06-09,18:02:29,2023-06-28,2023-07-26,0.9,,,0.0
2882,112年,2024-07-07,2024-06-14,15:53:32,2024-07-01,2024-07-29,2.0,,,0.0
2882,113年,2025-07-06,2025-06-13,16:07:31,2025-06-30,2025-07-28,3.5,,,0.0
2882,114年,2026-07-06,2026-06-12,17:43:12,2026-06-30,2026-07-28,3.5,,,0.0
2801,98年,2010-07-23,2010-06-25,15:46:14,2010-07-15,2010-08-06,0.3,,,0.0
2801,99年,2011-08-03,2011-07-14,10:37:13,2011-07-28,2011-08-22,0.28,2011-07-28,2011-08-22,0.9
2801,100年,2012-08-22,2012-08-03,09:38:38,2012-08-16,2012-09-12,0.2,2012-08-16,2012-09-12,0.7
2801,101年,2013-08-27,2013-08-06,18:04:19,2013-08-21,2013-09-16,0.1,2013-08-21,2013-09-16,0.7
2801,102年,2014-08-12,2014-07-22,17:11:31,2014-08-06,2014-09-03,0.6,2014-08-06,2014-09-03,0.2
2801,103年,2015-08-18,2015-07-28,16:41:20,2015-08-12,2015-09-07,0.2,2015-08-12,2015-09-07,0.7
2801,104年,2016-08-16,2016-07-26,17:02:25,2016-08-10,2016-09-07,0.35,2016-08-10,2016-09-07,0.6
2801,105年,2017-08-15,2017-07-25,15:52:04,2017-08-09,2017-09-06,0.42,2017-08-09,2017-09-06,0.5
2801,106年,2018-09-10,2018-08-16,17:59:06,2018-09-04,2018-09-28,0.45,2018-09-04,2018-09-28,0.4
2801,107年,2019-08-12,2019-07-22,15:45:22,2019-08-06,2019-09-06,0.64,2019-08-06,2019-09-06,0.2
2801,108年,2020-08-17,2020-07-27,17:34:06,2020-08-11,2020-09-11,0.4,2020-08-11,2020-09-11,0.4
2801,109年,2021-09-06,2021-08-13,15:34:57,2021-08-31,2021-09-30,0.36,2021-08-31,2021-09-30,0.1
2801,110年,2022-08-17,2022-07-27,17:27:52,2022-08-11,2022-09-08,0.5,2022-08-11,2022-09-08,0.1
2801,111年,2023-08-16,2023-07-26,11:42:24,2023-08-10,2023-09-13,0.55,2023-08-10,2023-09-13,0.25
2801,112年,2024-08-21,2024-07-31,11:31:30,2024-08-15,2024-09-19,0.55,2024-08-15,2024-09-19,0.32
2801,113年,2025-08-06,2025-07-16,12:06:27,2025-07-31,2025-09-04,0.5,2025-07-31,2025-09-04,0.5
2801,114年,2026-08-11,2026-07-21,15:18:15,2026-08-05,2026-08-31,0.8,2026-08-05,2026-09-08,0.25
2834,98年,2010-09-14,2010-08-24,14:04:55,,,0.0,2010-09-08,2010-10-25,0.4
2834,99年,2011-09-14,2011-08-23,16:04:59,,,0.0,2011-09-08,2011-10-14,0.45
2834,100年,2011-11-07,2011-10-25,15:43:34,,,0.0,2011-11-01,,0.0
2834,100年,2012-07-16,2012-06-26,18:22:01,,,0.0,2012-07-10,2012-08-27,0.4
2834,101年,2013-08-19,2013-07-29,09:42:07,,,0.0,2013-08-13,2013-09-13,0.4
2834,102年,2014-08-18,2014-07-24,20:26:07,,,0.0,2014-08-12,2014-09-10,0.4
2834,103年,2015-08-31,2015-08-11,10:32:18,,,0.0,2015-08-25,2015-09-25,0.73
2834,104年,2016-09-10,2016-08-19,17:41:49,2016-09-02,2016-10-05,0.1,2016-09-02,2016-10-05,0.5
2834,105年,2017-08-07,2017-07-13,16:42:02,2017-08-01,2017-09-05,0.102,2017-08-01,2017-09-05,0.3
2834,106年,2018-09-12,2018-08-23,09:53:47,2018-09-06,2018-10-11,0.268,2018-09-06,2018-10-11,0.4
2834,107年,2019-08-20,2019-07-31,12:00:19,2019-08-14,2019-09-19,0.3,2019-08-14,2019-09-19,0.5
2834,108年,2020-07-28,2020-07-07,18:00:38,2020-07-22,2020-08-26,0.2,2020-07-22,2020-08-26,0.5
2834,109年,2021-09-14,2021-08-25,11:16:52,2021-09-08,2021-10-13,0.1,2021-09-08,2021-10-13,0.34
2834,110年,2022-08-08,2022-07-18,10:57:45,2022-08-02,2022-09-07,0.1,2022-08-02,2022-09-07,0.37
2834,111年,2023-09-08,2023-08-17,14:16:45,2023-08-31,2023-10-06,0.1,2023-08-31,2023-10-06,0.24
2834,112年,2024-08-16,2024-07-23,17:46:42,2024-08-08,2024-09-13,0.2,2024-08-08,2024-09-13,1.15
2834,113年,2025-08-11,2025-07-21,16:37:00,2025-08-05,2025-09-09,0.2,2025-08-05,2025-09-09,0.6
2834,114年,2026-08-10,2026-07-20,16:37:18,2026-08-04,2026-09-02,0.3,2026-08-04,2026-09-10,0.7
